"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","019588461","Monograph","Language material ; Text","Online resource","GBB9H8558","","9781137581693","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","","","United States of America","New York","Palgrave Macmillan","2016","","1 online resource","813.009352352","ELD.DS.466477","Fan fiction ; English literature--19th century--Influence ; Twilight saga (Meyer, Stephenie) ; Emotions in literature ; Brontë, Charlotte, 1816-1855 ; Melodrama in motion pictures ; Heroines in literature ; Girls in literature ; Girls--Books and reading ; Meyer, Stephenie, 1973- ; Jane Eyre (Brontë, Charlotte) ; English literature--Influence ; American fiction--21st century--History and criticism ; Excess (Philosophy) ; Melodrama--History and criticism ; Fan fiction--History and criticism ; LITERARY CRITICISM--American--General","Criticsm and interpretation","English","",""
"Victorian women writers, radical grandmothers, and the gendering of God","","019173637","Monograph","Language material ; Text","Volume","GBB8N4970","","9780814255131","Houston, Gail Turley","1950-","person","author","Houston, Gail Turley, 1950-, author [person]","Literature, religion, and postsecular studies","","United States of America","Columbus","Ohio State University Press","2018","","1 volume","820.9928709034","","Religion and literature ; Goddess religion in literature ; Religion in literature ; English literature--Women authors--History and criticism ; Nightingale, Florence, 1820-1910--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Women authors, English--19th century ; Jameson, Mrs (Anna), 1794-1860--Criticism and interpretation ; English literature--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation ; Browning, Elizabeth Barrett, 1806-1861--Criticism and interpretation","","English","",""
"Villete","Agnes Grey ; The Brontë sisters : four novels ; Wuthering heights","006731415","Monograph","Language material ; Text","Volume","GB8236413","","9780600003427","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Spring","1981","","1140 pages, 21 cm","823.808","Nov.47156","Fiction in English--1837-1900--Anthologies ; English fiction--19th century","","English","Originally published: London : Hamlyn, 1976",""
"Villette (a re-imagining)","Charlotte Brontë's Villette ; Villette","018560829","Monograph","Language material ; Text","Online resource","GBB7K5558","","9781786820501","Marshall-Griffiths, Linda","","person","author","Marshall-Griffiths, Linda, author [person] ; West Yorkshire Playhouse [organisation] ; Brontë, Charlotte, 1816-1855 [person]","Oberon modern plays","","England ; United Kingdom","London","Oberon","2016","","1 online resource (136 pages)","822.92","ELD.DS.205919","Villette (Brontë, Charlotte) ; Plays, playscripts ; Cloning ; Survival--Drama ; Cloning--Drama ; Drama--English, Irish, Scottish, Welsh ; Brontë, Charlotte, 1816-1855--Drama","Drama ; Science fiction","English","",""
"Villette (a re-imagining)","Charlotte Brontë's Villette ; Villette","018744913","Monograph","Language material ; Text","Online resource","GBB891657","","9781786822017","Marshall-Griffiths, Linda","","person","author","Marshall-Griffiths, Linda, author [person] ; West Yorkshire Playhouse [organisation] ; Brontë, Charlotte, 1816-1855 [person]","Oberon modern plays","","England ; United Kingdom","London","Oberon","2017","","1 online resource (112 pages)","822.92","ELD.DS.263057","Villette (Brontë, Charlotte) ; Cloning ; Survival--Drama ; Cloning--Drama ; Brontë, Charlotte, 1816-1855--Drama","Drama ; Science fiction","English","",""
"Villette (a re-imagining)","Charlotte Brontë's Villette ; Villette","018745178","Monograph","Language material ; Text","Online resource","GBB841894","","9781786820501","Marshall-Griffiths, Linda","","person","author","Marshall-Griffiths, Linda, author [person] ; West Yorkshire Playhouse [organisation] ; Brontë, Charlotte, 1816-1855 [person]","Oberon modern plays","","England ; United Kingdom","London","Oberon","2016","","1 online resource (136 pages)","822.92","ELD.DS.263322","Villette (Brontë, Charlotte) ; Plays, playscripts ; Cloning ; Survival--Drama ; Cloning--Drama ; Drama--English, Irish, Scottish, Welsh ; Brontë, Charlotte, 1816-1855--Drama","Drama ; Science fiction","English","",""
"Villette : Abridged","","000485739","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Regent Classics","","England","London","Thames","1957","","247 pages (8°)","","W.P.13255/46","","","","",""
"Villette : adapted from the novel by Charlotte Brontë","Villette","014569773","Monograph","Language material ; Text","Volume","GBA929169","","9781840026405","Evans, Lisa","","person","","Brontë, Charlotte, 1816-1855 [person] ; Evans, Lisa [person]","Oberon modern plays","","England","London","Oberon","2005","","108 pages, 21 cm","822.92","YK.2009.a.8727","English drama--21st century","","English","'First performed at the Stephen Joseph Theatre, Scarborough on 25 October 2005'--Prelims ; Two men, 5 women",""
"Villette : roman. (Prevedla Rapa Šuklje.) [With illustrations.]","","000485738","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Šuklje, Rapa [person] ; Brontë, Charlotte, 1816-1855 [person]","","","","Ljubljana","","1965","","495 pages (8°)","","X.909/16583","","","","",""
"Villette","","000259307","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1853","","3 volumes (8°)","","12627.b.11","","","English","",""
"Villette","","000259308","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1855","A new edition","492 pages (8°)","","12622.b.9","","","English","",""
"Villette","","000259309","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1860","New edition","iv, 478 pages (8°)","","12654.b.5","","","English","",""
"Villette","","000485577","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Shakespeare Head Brontë","5-6 [Shakespeare Head Brontë]","England","Oxford","Basil Blackwell ; Shakespeare Head","1931","","2 volumes (6 leaves of plates), illustrations, 24 cm","","L.R.40.bb","","","English","",""
"Villette","","000485723","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","New century library","","England","London","T. Nelson","1905","","vi, 570 pages (8°)","","012209.de.2/3","","","English","",""
"Villette","","000485724","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Andrew Melrose","1906","","vii, 507 pages (8°)","","012622.h.37","","","English","",""
"Villette","","000485725","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Nelson's classics","","England","London","","1907","","vi, 570 pages (8°)","","012206.ff.51","","","English","A reissue of the edition of 1904",""
"Villette","","000485726","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","People's library","number 109 [People's library]","England","London","Cassell","1909","","455 pages (8°)","","012206.de.1/106","","","English","",""
"Villette","","000485727","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Everyman's library","","England ; United States of America","London ; New York","E. P. Dutton ; J M Dent","1909","","xxii, 645 pages (8°)","","12206.p.1/167","","","English","With introduction by May Sinclair",""
"Villette","","000485728","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Nelson's classics","","England","London","","1920","","vi, 570 pages","","012206.fff.38","","","English","A reissue of the edition of 1904",""
"Villette","","000485729","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Harrap's standard fiction library","","England","London","G.G. Harrap","1927","","vi, 507 pages, 18 cm","","012207.bbb.1/21","","","English","",""
"Villette","","000485730","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Quennell, Peter, 1905-1993 [person]","","","England","London","Pilot Press","1947","","viii, 372 pages (8°)","","12643.w.25","","","","",""
"Villette","","000485731","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England ; Scotland","Glasgow ; London","Collins","1954","","479 pages (8°)","","12653.aa.20","","","","",""
"Villette","","000485732","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Everyman's Library","number 351 [Everyman's Library]","England ; United States of America","London ; New York","E. P. Dutton ; J M Dent","1957","","xii, 462 pages (8°)","","12206.p.1/1063","","","","",""
"Villette","","000485733","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Dean","1963","","247 pages (8°)","","12521.r.15","","","","",""
"Villette","","000485734","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Hutton, Clarke, 1898-1984 [person]","","","England","London","Folio Society","1967","","443 pages, 12 plates, colour illustrations, 23 cm","","X.900/2895","","","","",""
"Villette","","000485735","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Heron","1968","","xii, 594 pages, plates, portraits, 21 cm","","X.909/18358","","","","",""
"Villette","","000485736","Monograph","Language material ; Text","Volume","","","9780330237123","Brontë, Charlotte","1816-1855","person","","Phelps, Gilbert Henry [person] ; Brontë, Charlotte, 1816-1855 [person]","A Pan classic","","England","London","","1973","","xxvi, 501 pages, 18 cm","","H.73/818","","","","",""
"Villette","","000485737","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Bekaert, R. N. [person]","","","","Antwerpen","","1950","","498 pages (8°)","","12646.g.40","","","","Boekengilde die Poorte. jaargang 1949-50. deel 5",""
"Villette","","004100389","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Harper","1853","","iv, 502 pages, 19 cm","","RB.23.a.585","","","English","",""
"Villette","","004102675","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Harper","1853","","184 pages, 24 cm","","1570/6121 (3)","","","English","",""
"Villette","","006950776","Monograph","Language material ; Text","Volume","GBA1X0066","","9780375758508","Brontë, Charlotte","1816-1855","person","","Lutz, Deborah [person] ; Brontë, Charlotte, 1816-1855 [person]","The Modern Library classics","","England ; United States of America","London ; New York","Kuperard ; Random House","2001","","iv, 590 pages, 21 cm","823.8","","Women teachers--Fiction ; British--Belgium--Fiction ; Brussels (Belgium)--Fiction","Autobiographical fiction ; Fiction ; Romance fiction","English","",""
"Villette","","006956493","Monograph","Language material ; Text","Volume","GBA4Y5692","","9780140434798","Brontë, Charlotte","1816-1855","person","","Cooper, Helen M. (Helen Margaret) [person] ; Brontë, Charlotte, 1816-1855 [person]","Penguin classics","","England","London","Penguin","2004","","liv, 611 pages, 20 cm","823.8","","Women teachers--Fiction ; British--Belgium--Fiction ; Separation (Psychology)--Fiction ; Brussels (Belgium)--Fiction","Autobiographical fiction ; Fiction ; Romance fiction","English","",""
"Villette","","007000726","Monograph","Language material ; Text","Volume","GB6309509","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Classics series-no.4","","United Kingdom","","Dean","1963","","247 pages, 20 cm","823.8","","","","English","",""
"Villette","","007391757","Monograph","Language material ; Text","Volume","GB8331957","","9780460113519","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Everyman's library","","England","London","Dent","1983","","xxiii, 506 pages, 19 cm","823.8","X.958/16841","Fiction in English--1837-1900--Texts","","English","",""
"Villette","","007392013","Monograph","Language material ; Text","Volume","GB9368188","","9780460872478","Brontë, Charlotte","1816-1855","person","","Kemp, Sandra [person] ; Brontë, Charlotte, 1816-1855 [person]","Everyman","","England","London","Dent","1993","","xxxiii, 542 pages, 20 cm","823.8","H.94/151","English fiction ; Brussels (Belgium)--Fiction","Autobiographical fiction ; Romance fiction","English","",""
"Villette","","008232300","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","","","Collins","","","","823.8","823.8 *4338*","","","English","",""
